retweets,likes,Subjectivity,Polarity
196,0,0.0,0.0
0,1,0.2,0.1
7,97,0.3,0.0
3,0,0.4,0.4
61,0,0.0,0.0
0,1,0.7,0.3
61,0,0.0,0.0
77,0,0.4,0.2
0,1,0.8,1.0
307,0,0.0,0.0
61,0,0.0,0.0
2,0,0.3,0.3
61,0,0.0,0.0
46788,0,0.0,0.0
3,4,0.4,0.4
239,0,0.2,0.1
61,0,0.0,0.0
61,0,0.0,0.0
1,1,0.0,0.0
0,2,0.5,0.1
3,0,0.1,0.0
523,0,0.0,0.0
54,0,0.0,0.0
3,0,0.6,0.1
61,0,0.0,0.0
77,0,0.4,0.2
61,0,0.0,0.0
22,0,0.0,0.0
231,0,0.6,0.4
1,1,0.2,0.2
134,0,0.0,0.0
0,2,0.8,-0.1
3,0,0.6,0.1
0,12,0.3,0.2
5,4,0.1,-0.0
61,54,0.0,0.0
0,2,0.4,0.1
0,10,0.3,0.2
172,0,0.0,0.0
0,1,0.6,0.9
0,4,0.7,0.2
0,2,0.6,-0.1
0,1,0.7,0.0
0,1,0.8,0.5
0,2,0.0,0.0
0,1,0.1,0.0
46310,0,0.0,0.0
0,1,0.4,0.4
172,0,0.0,0.0
16,0,0.6,0.4
0,1,0.3,-0.0
0,1,0.4,-0.1
0,1,0.0,0.0
7,0,0.0,0.0
9,237,0.2,-0.1
0,1,0.5,-0.0
0,2,0.0,0.0
8,0,0.2,-0.1
2,0,0.4,0.3
2,0,0.4,0.3
0,1,0.0,0.0
15,0,0.4,0.2
12,54,0.0,0.0
0,1,0.1,0.1
2,22,0.5,0.1
0,1,0.3,0.2
0,2,0.5,0.3
2681,0,0.2,0.2
22,0,0.0,0.0
0,1,0.6,0.5
68,0,0.5,0.1
1822,0,0.0,0.0
0,2,0.5,0.1
0,1,0.3,0.2
879,0,0.0,0.0
3,0,0.0,0.0
0,1,0.1,0.0
4,0,0.0,0.0
107,0,0.0,0.0
0,1,1.0,-0.1
2,5,0.3,-0.3
46310,0,0.0,0.0
0,1,0.0,0.0
1,0,0.0,0.0
1,1,0.0,0.0
16,0,0.4,0.4
0,11,0.3,0.2
768,0,0.2,-0.1
0,1,0.4,-0.1
0,4,0.9,0.3
147,0,0.0,0.0
848,0,0.9,-0.6
2,0,0.5,0.0
142,0,0.6,0.6
1,0,0.1,0.0
154,0,0.6,0.4
37,0,0.5,0.2
0,3,0.3,0.1
2,8,0.6,0.1
19,0,0.5,-0.3
239,0,0.2,0.1
33,0,0.6,0.2
34,0,0.2,0.0
54,0,0.0,0.0
0,2,1.0,0.2
2,63,0.7,0.0
16,0,0.4,0.4
0,1,0.6,0.2
128,0,0.0,0.0
848,0,0.9,-0.6
