retweets,likes,Subjectivity,Polarity
31,0,0.0,0.0
254,0,0.0,0.0
43,0,0.3,0.4
173,0,0.0,0.0
328,0,0.0,0.0
254,0,0.0,0.0
53,0,0.1,0.0
34,0,0.1,0.0
3009,0,0.4,-0.1
1,4,0.5,0.5
133,0,0.0,0.0
65,0,0.0,0.0
14,0,0.4,-0.1
5,0,0.0,0.0
1499,0,0.4,-0.1
173,0,0.0,0.0
898,0,1.0,1.0
2,1,0.0,0.0
325,0,0.1,0.0
0,3,0.5,0.4
1,3,0.0,0.0
2570,0,0.0,0.0
325,0,0.1,0.0
1009,0,0.0,0.0
325,0,0.1,0.0
1499,0,0.4,-0.1
771,0,0.4,-0.1
3009,0,0.4,-0.1
41,0,0.5,0.0
218,0,0.5,0.1
2570,0,0.0,0.0
3009,0,0.4,-0.1
8,0,0.0,0.0
47,0,0.0,0.0
23,0,0.2,0.0
69,0,0.0,0.0
31,0,0.0,0.0
325,0,0.1,0.0
173,0,0.0,0.0
387,0,0.0,0.0
1,0,0.0,0.0
1499,0,0.4,-0.1
1499,0,0.4,-0.1
854,0,0.0,0.0
3,1,0.0,0.0
1,0,0.2,0.1
0,3,0.5,-0.3
0,4,0.4,0.2
0,1,0.0,0.0
4,0,0.5,0.5
2607,0,0.0,0.0
313,0,0.4,-0.1
1,0,0.0,0.0
41,0,0.5,0.0
3009,0,0.4,-0.1
223,0,0.0,0.0
325,0,0.1,0.0
365,0,0.0,0.0
854,0,0.0,0.0
14,0,0.8,-1.0
3009,0,0.4,-0.1
223,0,0.0,0.0
0,1,0.2,0.2
2607,0,0.0,0.0
31,0,0.0,0.0
0,1,0.5,0.5
2570,0,0.0,0.0
1009,0,0.0,0.0
14,0,0.4,-0.1
41,0,0.5,0.0
1499,0,0.4,-0.1
325,0,0.1,0.0
302,0,0.0,0.0
225,0,0.0,0.0
2607,0,0.0,0.0
41,0,0.5,0.0
182,0,0.0,0.0
6,0,0.0,0.0
40,0,0.0,0.0
28,0,0.5,0.0
36,0,0.0,0.0
35,0,0.0,0.0
34,0,0.0,0.0
65,0,0.0,0.0
1,2,1.0,-0.2
65,0,0.0,0.0
1,36,0.0,0.0
6,0,0.0,0.0
99,0,0.0,0.0
132,0,0.0,0.0
3009,0,0.4,-0.1
325,0,0.1,0.0
2,0,0.4,-0.1
34,0,0.0,0.0
771,0,0.4,-0.1
225,0,0.0,0.0
4,0,0.0,0.0
35,0,0.0,0.0
41,0,0.5,0.0
6,0,0.0,0.0
794,0,0.4,-0.1
2607,0,0.0,0.0
198,0,0.3,0.2
2570,0,0.0,0.0
329,0,0.2,-0.1
211,0,0.7,0.4
854,0,0.0,0.0
1,0,0.0,0.0
325,0,0.1,0.0
0,1,0.8,0.5
0,1,0.5,0.2
22,0,0.0,0.0
31,0,0.0,0.0
173,0,0.0,0.0
3009,0,0.4,-0.1
23,0,0.2,0.0
30,0,0.0,0.0
254,0,0.0,0.0
45,0,0.5,-0.2
22,0,0.0,0.0
47,0,0.0,0.0
0,16,0.2,0.3
8,0,0.5,0.0
51,0,0.3,-0.2
6,20,0.2,0.2
2,0,0.0,0.0
1009,0,0.0,0.0
1,0,0.0,0.0
218,0,0.5,0.1
382,0,0.0,0.0
22,0,0.0,0.0
55,0,0.1,0.0
18,0,0.1,0.0
194,0,0.0,0.0
794,0,0.4,-0.1
22,0,0.0,0.0
1,0,0.5,0.5
